Licensee Name,DBA,License #,Street Address,City,Zip,Operation,lat,lng
LARSEN GROUP LLC,THE GREEN STOP,403-01476,"130 Maine Street, Unit C",Log Lane Village,80705,Both,40.268286,-103.832051
CANNABIS CARE WELLNESS CENTERS LLC,SMOKEY'S,403-00637,2515 7th Avenue,Garden City,80631,Both,40.396779,-104.689853
XG PLATINUM CORPORATION,,403-00837,422 26th Street,Garden City,80631,Both,40.395878,-104.685269
ELITE ORGANICS LLC,ELITE ORGANICS,403-01336,"1225 Blue Spruce Drive, Units H-J",Fort Collins,80524,Both,40.604001,-105.071778
ORGANIC ALTERNATIVES LLC,ORGANIC ALTERNATIVES,403-01299,337 Hickory Street,Fort Collins,80524,Both,40.603558,-105.083262
SEALED ENVIRONMENT AGRICULTURE LABS INC,PURE,403-01697,"1225 Blue Spruce Drive, Unit C",Fort Collins,80524,Both,40.604001,-105.071778
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,403-00334,191 Blue River Parkway,Silverthorne,80498,Both,39.628989,-106.070782
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-01481,"2815 Downhill Plaza, Unit 401",Steamboat Springs,80487,Both,40.509157,-106.859647
IGADI LTD,IGADL,403-01558,"72399 US Highway 40, Unit C",Tabernash,80478,Both,39.980702,-105.847623
KP LLC,THE ALCHEMIST,403-01671,228 Arthur Avenue,Oak Creek,80467,Both,40.273541,-106.961853
CT MANAGEMENT SERVICES LLC,GARO DEPOT,403-01653,37671 Highway 9,Fairplay,80440,Both,39.108263,-105.890525
SERENE WELLNESS FRASER LLC,,403-01266,13 East Park Avenue,Empire,80438,Both,39.76103,-105.682929
ALPENGLOW BOTANICALS LLC,,403R-00093,"1805 Airport Road, #B1C & B1B",Breckenridge,80424,Both,39.509029,-106.051733
SUNRISE SOLUTIONS LLC,,403-00856,43 Main Street,Bailey,80421,Both,39.406821,-105.473673
CROSSROADS WELLNESS LLC,BOULDER BOTANICS,403-00325,"4727 North Broadway, Unit G",Boulder,80304,Both,40.041821,-105.281847
THE GROWING KITCHEN LLC,,403-00398,8401 Baseline Road,Boulder,80303,Both,40.000128,-105.156283
COLORADO CANNABIS SERVICES LLC,GREEN CROSS CAREGIVERS,403-00607,"2510 47th Street, Unit G",Boulder,80301,Both,40.025383,-105.244191
HEALTH SERVICES LLC,GREEN DREAM HEALTH SERVICES,403-01279,"6390 Gunpark Drive, Unit B",Boulder,80301,Both,40.070074,-105.204642
5110 RACE LLC,THE SANCTUARY,403-00243,11100 East 51st Avenue,Denver,80239,Both,39.790138,-104.858291
APOTHECARY OF COLORADO LLC,,403-00473,"10625 East 51st Avenue, Unit 103",Denver,80239,Both,39.790317,-104.864485
BIG TOE LLC,FINE TREES,403-00290,5353 Joliet Street,Denver,80239,Both,39.794092,-104.861328
BK HOLDINGS LLC,,403-01484,12001 East 37th Avenue,Denver,80239,Both,39.768074,-104.848216
BK HOLDINGS LLC,,403-01485,12005 East 37th Avenue,Denver,80239,Both,39.768042,-104.847851
COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,403-00258,"5475 Peoria Street, Building 1, Unit 112",Denver,80239,Both,39.79474,-104.847247
COLORADO FARMS INC,,403-00017,11975 East 40th Avenue,Denver,80239,Both,39.772925,-104.849384
KIND LOVE LLC,,403-00038,4890 Joliet Street,Denver,80239,Both,39.786193,-104.861295
LEFT BANK LLC,DIXIE ELIXIRS,403-01445,4990 Oakland Street,Denver,80239,Both,39.788062,-104.850641
NUTRITIONAL ELEMENTS INC,THE HEALTH CENTER,403-00462,4825 Oakland Street,Denver,80239,Both,39.784712,-104.850653
ORGANIC GREENS INC,NATURAL REMEDIES,403-01368,4675 Kingston Street,Denver,80239,Both,39.781645,-104.858966
POTCO LLC,POTCO,403-01371,11101 East 51st Avenue,Denver,80239,Both,39.790312,-104.858739
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,403R-00497,10625 East 51st Avenue,Denver,80239,Both,39.790317,-104.864485
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,403-01701,4525 Ironton Street,Denver,80239,Both,39.779349,-104.86324
BOTANACARE LLC,,403-01277,"11450 Cherokee Street, Units A1, A2, A3, A4, A5, A6, A7",Northglenn,80234,Both,39.904507,-104.991626
PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,403-00955,"2100 East 112th Avenue, Suite 5",Northglenn,80233,Both,39.899499,-104.963224
TETRAHYDROCENTER LLC,,403-00663,9206 East Hampden Avenue,Denver,80231,Both,39.653062,-104.880428
5280 WELLNESS LLC,MMJ AMERICA GOLDEN TRIANGLE,403-00424,1205 West Evans Avenue,Denver,80223,Both,39.678543,-105.002809
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00978,"2252 South Kalamath Street, Unit B",Denver,80223,Both,39.675624,-105.000645
ADVANCED MEDICAL ALTERNATIVES LLC,,403-01535,"400 South Lipan Street, Unit 23",Denver,80223,Both,39.709368,-105.001526
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00977,790 West Evans,Denver,80223,Both,39.678462,-104.997064
ALTERNATIVE MEDICINE ON CAPITOL HILL,,403-00023,231 Wyandot Street,Denver,80223,Both,39.720532,-105.014207
AT HOME REMEDIES INC,,403-00289,1055 South Fox Street,Denver,80223,Both,39.697367,-104.994465
CANNABIS FOR HEALTH LLC,,403-00207,155 South Pecos Street,Denver,80223,Both,39.713696,-105.006253
COMPASSIONATE PAIN MANAGEMENT LLC,CPM,403-00488,1975 South Bannock Street,Denver,80223,Both,39.680743,-104.989963
DELTA 9 ALTERNATIVE MEDICINE LLC,STICKY BUDS,403-01180,2219 South Jason Street,Denver,80223,Both,39.676375,-104.999483
DISCOUNT MEDICAL MARIJUANA LLC,,403-00393,395 Yuma Street,Denver,80223,Both,39.721936,-105.015209
DOCTORS ORDERS LLC,DOCTORS ORDERS,403-01080,1395 South Acoma Street,Denver,80223,Both,39.691665,-104.988669
DOCTORS ORDERS LLC,DOCTORS ORDERS,403-01079,2323 South Lipan Street,Denver,80223,Both,39.674132,-105.001805
EPMM COLORADO LLC,EDIPURE,403-01252,1344 West Cedar Avenue,Denver,80223,Both,39.713035,-105.005299
GG MERCANTILE LLC,REDEYE RELEAF,403-01098,1332 South Cherokee Street,Denver,80223,Both,39.692584,-104.990996
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,403-00269,1178 South Kalamath Street,Denver,80223,Both,39.69529,-105.000342
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,403-00200,"2675 South Santa Fe Drive, Units 6C, 6D, 6E, 6F, 6G & 6H",Denver,80223,Both,39.668382,-104.996002
IVITA WELLNESS II LLC,,403-00962,2150 South Lipan Street,Denver,80223,Both,39.67744,-105.001819
JULIE CAMILLE LLC,SWEET GRASS KITCHEN,403-00190,1135 South Jason Street,Denver,80223,Both,39.695979,-104.999173
KAZIMER LLC,,403-00682,1233 West Alameda Avenue,Denver,80223,Both,39.71118,-105.002235
KEENS GREENS EDIBLES LLC,,403-01468,"1015 West Evans Avenue, Unit EB",Denver,80223,Both,39.678498,-104.999782
KIND LOVE LLC,,403-00035,2116 South Kalamath Street,Denver,80223,Both,39.678196,-105.000646
MEDICALLY CORRECT LLC,INCREDIBLES,403-01019,1308 South Jason Street,Denver,80223,Both,39.692906,-104.999221
MEDICINAL WELLNESS CENTER LLC,MEDICINAL OASIS LLC,403-01260,1255 West Virginia Avenue,Denver,80223,Both,39.707565,-105.003374
MILE HIGH GREEN CROSS LLC,,403-01125,"1015 West Evans Avenue, Unit A/B",Denver,80223,Both,39.678498,-104.999782
MILE HIGH MEDICAL LLC,MMJ AMERICA,403-00426,"1885 West Dartmouth Avenue, Units 6 & 8",Denver,80223,Both,39.66047,-105.006429
NATURES BEST LLC,,403-00008,1240 South Bannock Street,Denver,80223,Both,39.69415,-104.990185
NATURES CURE III LLC,THE COLFAX POT SHOP,403-00651,1342 West Cedar Avenue,Denver,80223,Both,39.71305,-105.004811
RINO SUPPLY CO INC,,403-01201,2200 South Lipan Street,Denver,80223,Both,39.676456,-105.001826
ROCKY MOUNTAIN WAYS LLC,GOOD MEDS LAKEWOOD,403-01122,870 Navajo Street,Denver,80223,Both,39.730071,-105.004099
SERENDIPITY ENTERPRISES INCORPORATED,SATICA,403-01006,860 Navajo Street,Denver,80223,Both,39.72991,-105.004099
THE HERBAL CURE LLC,,403-00034,2209 South Jason Street,Denver,80223,Both,39.676378,-104.999483
VITA MEDS LLC,MR. NICEGUYS,403-00551,1397 South Cherokee Street,Denver,80223,Both,39.69136,-104.991031
WELLNESS CENTER OF THE ROCKIES INC,WELLNESS CENTER OF THE ROCKIES INC,403-01509,2130 South Lipan Street,Denver,80223,Both,39.677843,-105.001814
CJJ SERVICES LLC,SACRED SEED,403-00362,5885 East Evans Avenue,Denver,80222,Both,39.678466,-104.919559
MAHATMA GANGA LLC,,403-01206,1045 West 45th Avenue,Denver,80221,Both,39.778358,-105.000026
KTA LLC,HIGH STREET CANNABIS STATION,403-00107,890 Navajo Street,Denver,80220,Both,39.730395,-105.0041
CAREGIVERS FOR LIFE LLC,,403-00450,"2744 West 4th Avenue, Unit 100",Denver,80219,Both,39.722064,-105.021385
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00980,501 West 40th Avenue,Denver,80216,Both,39.771739,-104.993971
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,403-00731,4571 North Ivy Street,Denver,80216,Both,39.779767,-104.920027
CANNABIS KING LLC,GREENWERKZ,403-00224,"3615 Delgany Street, Unit A",Denver,80216,Both,39.772161,-104.978224
CG NETWORK LLC,GROUNDSWELL,403-00546,4360 Vine Street,Denver,80216,Both,39.777499,-104.962405
CO-AGRONOMICS LLC,THE GREEN DEPOT,403-01654,4414 Vine Street,Denver,80216,Both,39.777664,-104.962403
COLORADO CARE FACILITY INC,,403-00149,4980 Jackson Street,Denver,80216,Both,39.786982,-104.94291
CURE MEDICAL PHARM INC,RIVERROCK,403-00058,4935 York Street,Denver,80216,Both,39.785828,-104.959257
DENCO LLC,,403-00281,5155 East 46th Avenue,Denver,80216,Both,39.780136,-104.928413
DENVER DISPENSARY LLC,,403-01262,4975 Vasquez Boulevard,Denver,80216,Both,39.786475,-104.945765
DENVER PATIENTS CENTER LLC,"IHC, SANTE'",403-00184,3895 East 45th Avenue,Denver,80216,Both,39.77888,-104.942256
DENVER RELIEF LLC,DENVER RELIEF LLC,403-00672,5051 East 41st Avenue,Denver,80216,Both,39.773344,-104.928926
DISCOUNT MEDICAL MARIJUANA LLC,,403-00392,3730 East 44th Avenue,Denver,80216,Both,39.777646,-104.943497
DURANGO ALTERNATIVE LLC,ROCKY MOUNTAIN HIGH,403-00241,"4228 York Street, Unit 103, 106 & 107",Denver,80216,Both,39.775778,-104.959413
FLEURAISON LLC,FLEURAISON LLC,403R-00570,5923 Broadway,Denver,80216,Both,39.804104,-104.987545
FOX STREET WELLNESS LLC,AITAI,403-01217,4773 Fox Street,Denver,80216,Both,39.783251,-104.994298
GOLDEN MEDS INC,GM ENTERPRISE INC,403-01194,5077 North Colorado Boulevard,Denver,80216,Both,39.787841,-104.940703
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS - GREEN STREET,403-00283,4905 East 41st Avenue,Denver,80216,Both,39.774433,-104.930264
PATIENTS PLUS LLC,,403-00140,505 Bryant Street,Denver,80216,Both,39.723917,-105.018668
PREFERRED ORGANIC THERAPY & WELLNESS LLC,,403-00979,4850 Jackson Street,Denver,80216,Both,39.784905,-104.94292
THE GREEN SOLUTION LLC,,403-01381,5305 Steele Street,Denver,80216,Both,39.793077,-104.949841
TREATMENTS UNLIMITED LLC,ALTITUDE EAST,403-00396,4550 Jackson Street,Denver,80216,Both,39.779325,-104.942857
TWOG YORK LLC,BUDDY BOY,403-01139,4501 Wynkoop Street #101,Denver,80216,Both,39.777761,-104.967473
UNIVERSAL HERBS LLC,,403-00395,"5959 East 39th Avenue, Unit 102",Denver,80216,Both,39.771079,-104.918242
BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,,403-00865,4500 Jason Street,Denver,80211,Both,39.778361,-104.999371
ORGANIC GREENS INC,NATURAL REMEDIES,403-01154,4105 Jason Street,Denver,80211,Both,39.773263,-104.999397
PLATTE VALLEY DISPENSARY LLC,,403-00875,3104 Blake Street,Denver,80211,Both,39.764579,-104.981006
COLORADO WELLNESS INC,,403-01170,2057 South Broadway,Denver,80210,Both,39.679204,-104.987591
GANJA GOURMET LLC,,403-00987,1955 South Bannock Street,Denver,80210,Both,39.681139,-104.989958
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,403-01031,2568 South Broadway,Denver,80210,Both,39.67,-104.987527
BEYOND BROADWAY LLC,LIVWELL,403-00574,432 South Broadway,Denver,80209,Both,39.708719,-104.98761
THE HERBAL CURE LLC,,403-00747,985 South Logan Street,Denver,80209,Both,39.698892,-104.982785
BUD MED HEALTH CENTERS LLC,LIVE GREEN CANNABIS,403-00863,5775 East 39th Avenue,Denver,80207,Both,39.771066,-104.920806
LIGHTSHADE LABS LLC,LIGHTSHADE,403-00378,3950 Holly Street,Denver,80207,Both,39.772226,-104.922318
MJLQ LLC,WHOLE MEDS,403-01469,"5959 East 39th Avenue, Unit 101",Denver,80207,Both,39.771074,-104.919267
NEW AGE MEDICAL LLC,NEWAGE MEDICAL LLC,403-00303,3857 Elm Street,Denver,80207,Both,39.770369,-104.929338
TMED LLC,THE GRASS STATION,403-01376,7200 East Smith Road,Denver,80207,Both,39.776117,-104.939847
DGP WALNUT LLC,SWEET LEAF,403-00221,2609 Walnut Street,Denver,80205,Both,39.759308,-104.986101
IVITA WELLNESS LLC,IVITA WELLNESS,403-00271,1660 East 40th Avenue,Denver,80205,Both,39.772902,-104.967397
IVITA WELLNESS LLC,IVITA,403-01394,"1660 East 40th Avenue, Unit A",Denver,80205,Both,39.772902,-104.967397
LUCKY SWEETS LLC,LUCKY SWEETS LLC,403-01392,3980 Franklin Street,Denver,80205,Both,39.772601,-104.96839
MMD OF COLORADO LLC,,403-00286,3954 Williams Street,Denver,80205,Both,39.772358,-104.965911
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,403-00128,2059 West 9th Avenue,Denver,80204,Both,39.731052,-105.012454
BUSHES LLC,,403-01106,2650 West 6th Avenue,Denver,80204,Both,39.725751,-105.019831
F-SQUARED INDUSTRIES LLC,WELLNESS CENTER OF DENVER,403-00624,788 Vallejo Street,Denver,80204,Both,39.728995,-105.013217
JOIS LLC,SILVER STEM FINE CANNABIS,403-00493,2731 West Short Place,Denver,80204,Both,39.722907,-105.02136
MAYFLOWER GROUP LLC,THE HEALTH CENTER,403-00827,658 Kalamath Street,Denver,80204,Both,39.727285,-105.000188
METRO CANNABIS INC,SILVER STEM FINE CANNABIS,403-00109,1235 Umatilla Street,Denver,80204,Both,39.735664,-105.01235
MMJ AMERICA INC,BOULDER MMJ,403-00423,1617 West 12th Avenue,Denver,80204,Both,39.735287,-105.007971
SISSCO LLC,TRENCHTOWN,403-00840,1619 West 12th Avenue,Denver,80204,Both,39.735287,-105.007994
TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,,403-00421,665 Kalamath Street,Denver,80204,Both,39.727287,-105.000188
URBAN CANNABIS LLC,HEALING HOUSE,403-00182,1100 Yuma Court,Denver,80204,Both,39.733911,-105.014522
XG PLATINUM CORPORATION,,403-01572,525 Bryant Street,Denver,80204,Both,39.724122,-105.018669
ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,403-00457,"70 Broadway, Suite 50",Denver,80203,Both,39.71784,-104.987506
1617 WAZEE STREET LLC,LODO WELLNESS CENTER,403-00019,"1617 Wazee Street, Unit B",Denver,80202,Both,39.751532,-104.999636
BOULDER ORGANIC FOOD GROUP LLC,COLORADO PURE VAPE,403-01313,9135 West 44th Avenue,Wheat Ridge,80033,Both,39.778078,-105.099017
BOULDER SWEET GRASS LLC,SWEET MARY JANE,403-01483,"1224 Commerce Court, Unit 3",Lafayette,80026,Both,39.980155,-105.072281
RFSC LLC,ROOTS RX,403R-00327,421 Upper Cattle Creek Rd,Carbondale,81623,Retail,39.404131,-107.091049
GENERAL CANNABIS LABS LLC,GENERAL CANNABIS LABS,403R-00595,37047 Highway 550,Montrose,81403,Retail,38.269599,-107.76379
THE POT SHOP LLC,THE POT SHOP LLC,403R-00337,67085 US Highway 50,Gunnison,81230,Retail,38.4868,-106.679787
DARK HORSE GENETICS LLC,,403R-00597,63520 East State Highway 96,Boone,81025,Retail,38.199287,-104.164807
HASHISH HOUSE LLC,HASHISH HOUSE,403R-00233,63500 East State Highway 96,Boone,81025,Retail,38.204252,-104.173465
K.I.N.D. WELLNESS CENTER LLC,K.I.N.D. WELLNESS CENTER LLC,403R-00210,102 North River Road,Snowmass,81654,Retail,39.333506,-106.988312
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF ASPEN,403R-00371,3010 Airport Rd,Rifle,81650,Retail,39.524187,-107.749634
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF ASPEN,403-01461,3010 Airport Road,Rifle,81650,Medical,39.524187,-107.749634
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,403R-00382,184 Gas Court,Rifle,81650,Retail,39.529048,-107.820838
GREEN NATURAL SOLUTIONS INC,,403-01249,4501 Silt Mesa Road,Rifle,81650,Medical,39.563939,-107.710248
RIFLE REMEDIES LLC,THE GROW HOUSE,403-00763,0208 County Road 227,Rifle,81650,Medical,39.550253,-107.700241
MML LLC,HOLISTIC HEALTHCARE,403-00465,"38150 River Frontage Road, Unit 3D",New Castle,81647,Medical,39.554855,-107.57272
TNT BOTANICALS LLC,TNT BOTANICALS,403R-00507,11157 Gypsum Creek Road,Gypsum,81637,Retail,39.497533,-106.871498
NEW HOPE WELLNESS CENTER LLC,,403R-00342,210 Edwards Village Boulevard Unit B-210,Edwards,81632,Retail,39.643337,-106.59662
NEW HOPE WELLNESS CENTER LLC,,403-00231,"210 Edwards Village Boulevard, Unit B-210",Edwards,81632,Medical,39.643337,-106.59662
DISTRICT 8 HOLDINGS LLC,,403R-00578,2139 45 Road,De Beque,81630,Retail,39.314792,-108.214533
ELK MOUNTAIN TRADING POST LLC,ELK MOUNTAIN TRADING POST LLC,403R-00412,170 East 3rd Street,De Beque,81630,Retail,39.332308,-108.212925
CATTLE CREEK CULTIVATIONS LLC,,403R-00345,"420 Upper Cattle Creek Road, Lot 4",Carbondale,81623,Retail,39.404258,-107.091453
CMED LLC,COLOMED CENTER,403-00848,615 Buggy Circle Unit D,Carbondale,81623,Medical,39.409109,-107.220437
CMED LLC,,403R-00089,"615 Buggy Circle, Unit D",Carbondale,81623,Retail,39.409109,-107.220437
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF,403-01214,1676 CR 100 Unit N-2,Carbondale,81623,Medical,39.287018,-107.174534
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,403R-00182,655 Buggy Circle,Carbondale,81623,Retail,39.4093,-107.220579
COOPER MASON VENTURES 2 LLC,,403R-00298,11556 Highway 133,Carbondale,81623,Retail,39.264242,-107.229646
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403R-00185,11556 Highway133,Carbondale,81623,Retail,39.264242,-107.229646
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403-01207,11556 Hwy 133,Carbondale,81623,Medical,39.264242,-107.229646
CRYSTAL RIVER GROWERS,,403R-00523,"220 North 12th Street, Unit A",Carbondale,81623,Retail,39.403776,-107.218462
RFSCG1 LLC,,403R-00322,421 Upper Cattle Creek Road,Carbondale,81623,Retail,39.404131,-107.091049
VAIL BUD BREWERY LLC,VAIL BUDZ,403R-00466,"40928 Highway 6, Unit 2-C",Avon,81620,Retail,39.622078,-106.477154
WILLS CONSULTING LLC,,403R-00463,"40690 Highway 6, Unit F",Avon,81620,Retail,39.622533,-106.481081
UNITED PATIENTS OF AMERICA LLC,ASPEN ROARING FORK WELLNESS,403-00050,0178 Medicine Bow Road,Aspen,81611,Medical,39.249262,-106.889158
GREEN NATURAL SOLUTIONS INC,,403-00382,3 Seven Oaks Road,Glenwood Springs,81601,Medical,39.494591,-107.177166
OSIRIS LLC,,403R-00576,2150 Devereux Road,Glenwood Springs,81601,Retail,39.553844,-107.330325
COLORADO ALTERNATIVE HEALTH CARE LTD,PALISADES HEALTH CARE,403-00142,"125 Peach Avenue, Unit B",Palisade,81526,Medical,39.111529,-108.35321
DELILAH LLC,,403R-00238,753 & 755 Vance Drive,Telluride,81435,Retail,37.937455,-107.864032
DELILAH LLC,,403-01433,753 Vance Drive,Telluride,81435,Medical,37.947136,-107.910141
NEW WORLD ALTERNATIVE HEALTHCARE LLC,,403R-00197,135 South Spruce Street,Telluride,81435,Retail,37.936223,-107.810054
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,403R-00175,"711 South Park Road, #E",Telluride,81435,Retail,38.475486,-107.86852
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,403-00709,711E South Park Road,Telluride,81435,Medical,38.475486,-107.86852
DANIEL BURNETT VIGUERIA,RECREATIONAL SERVICES COMPANY,403R-00372,336 King Avenue,Somerset,81434,Retail,38.925516,-107.469502
KENDALL MOUNTAIN LLC,SILVERTON GREEN WORKS,403R-00347,"124 East 13th Street, Unit A",Silverton,81433,Retail,37.812696,-107.664065
SAN JUAN CULTIVATION LLC,CANNAFARMER,403R-00569,71463 US Highway 550,Silverton,81433,Retail,37.80774,-107.676433
ACME DISPENSARY INC,,403-00762,22327 Highway 550 Lot B,Ridgway,81432,Medical,38.148063,-107.744835
ACME DISPENSARY INC,,403R-00205,22327 US Hwy 550 LOT B,Ridgeway,81432,Retail,38.132005,-107.789959
ACME HEALING CENTER OF RIDGWAY LLC,,403-01278,"22327 Highway 550, Lot B",Ridgway,81432,Medical,38.148063,-107.744835
ACME HEALING CENTER OF RIDGWAY LLC,,403R-00204,22327 US Hwy 550 Lot B,Ridgway,81432,Retail,38.132005,-107.789959
DURANGO HEALING CENTER LLC,ACME HEALING CENTER,403-00712,22327 US Highway 550 Lot B,Ridgway,81432,Medical,38.132005,-107.789959
SHINING MOUNTAIN LLC,SHINING MOUNTAIN LLC,403R-00510,5636 County Road 23,Ridgway,81432,Retail,38.134361,-107.751438
THCULTIVATION LLC,THCULTIVATION,403R-00494,5492 County Road 23,Ridgway,81432,Retail,38.131819,-107.749569
DALLAS CREEK NURSERIES LLC,,403R-00604,304 Weahgatay Road,Montrose,81403,Retail,38.310707,-107.834932
GREEN MEADOWS DISPENSARY LLC,,403-00727,23360 South Highway 550,Montrose,81403,Medical,38.389821,-107.829004
P&C EXPRESS LLC,ROCKY MOUNTAIN HIGH DISPENSARY,403-00860,4860 North Townsend Avenue,Montrose,81401,Medical,38.528345,-107.933155
HESPERUS MOUNTAIN HEALERS LLC,,403R-00484,444 Conestoga Way,Hesperus,81326,Retail,37.248317,-108.000539
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,403-00804,1531 N Lebanon Rd,Cortez,81321,Medical,37.358872,-108.590783
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,403R-00391,1531 North Lebanon Road,Cortez,81321,Retail,37.358872,-108.590783
DURANGO ORGANICS LLP,DO CORTEZ,403-00722,1104 East Main Street,Cortez,81321,Medical,37.348846,-108.571422
GREEN KIWI 4 LLC,THE BEACON,403-00861,1740 East Main Street,Cortez,81321,Medical,37.348919,-108.563047
THE MEDICINE MAN LLC,THE MEDICINE MAN LLC,403R-00444,2301 South Broadway,Cortez,81321,Retail,37.325318,-108.608021
