Licensee Name,DBA,License #,Street Address,City,Zip,Operation,location
NUVUE PHARMA LLC,,403-01656,413 Eagleridge Boulevard,Pueblo,81008,Both,413 Eagleridge Boulevard Pueblo CO 81008
COLORADO DISTRIBUTING LLC,NATURES NUGS,403-01542,893 East Enterprise Drive,Pueblo West,81007,Both,893 East Enterprise Drive Pueblo West CO 81007
HERITAGE ORGANICS LLC,,403-00092,84 North Precision Drive,Pueblo West,81007,Both,84 North Precision Drive Pueblo West CO 81007
JKC MANUFACTURING LLC,TRIPLE HEALIX,403-01605,73 North Research Drive,Pueblo West,81007,Both,73 North Research Drive Pueblo West CO 81007
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403-01589,129 East Enterprise Drive,Pueblo,81007,Both,129 East Enterprise Drive Pueblo CO 81007
THE ORGANIC SEED LLC,,403-01422,41 North Precision Drive,Pueblo West,81007,Both,41 North Precision Drive Pueblo West CO 81007
AMERICAN PRIDE GROWERS LLC,AMERICAN PRIDE GROWERS,403-01548,1917 Santa Fe Drive,Pueblo,81006,Both,1917 Santa Fe Drive Pueblo CO 81006
COLORADO BEST BUDZ LLC,,403-01540,"23344 Highway 50 East, Unit B",Pueblo,81006,Both,"23344 Highway 50 East, Unit B Pueblo CO 81006"
GREEN ACRES EMPORIUM LLC,,403-01517,6033 Highway 78 West,Pueblo,81005,Both,6033 Highway 78 West Pueblo CO 81005
DACONO MEDS LLC,SEDGWICK ALTERNATIVE RELIEF,403-01124,107 Main Avenue,Sedgwick,80749,Both,107 Main Avenue Sedgwick CO 80749
LARSEN GROUP LLC,THE GREEN STOP,403-01476,"130 Maine Street, Unit C",Log Lane Village,80705,Both,"130 Maine Street, Unit C Log Lane Village CO 80705"
CANNABIS CARE WELLNESS CENTERS LLC,SMOKEY'S,403-00637,2515 7th Avenue,Garden City,80631,Both,2515 7th Avenue Garden City CO 80631
XG PLATINUM CORPORATION,,403-00837,422 26th Street,Garden City,80631,Both,422 26th Street Garden City CO 80631
ELITE ORGANICS LLC,ELITE ORGANICS,403-01336,"1225 Blue Spruce Drive, Units H-J",Fort Collins,80524,Both,"1225 Blue Spruce Drive, Units H-J Fort Collins CO 80524"
ORGANIC ALTERNATIVES LLC,ORGANIC ALTERNATIVES,403-01299,337 Hickory Street,Fort Collins,80524,Both,337 Hickory Street Fort Collins CO 80524
SEALED ENVIRONMENT AGRICULTURE LABS INC,PURE,403-01697,"1225 Blue Spruce Drive, Unit C",Fort Collins,80524,Both,"1225 Blue Spruce Drive, Unit C Fort Collins CO 80524"
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,403-00334,191 Blue River Parkway,Silverthorne,80498,Both,191 Blue River Parkway Silverthorne CO 80498
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-01481,"2815 Downhill Plaza, Unit 401",Steamboat Springs,80487,Both,"2815 Downhill Plaza, Unit 401 Steamboat Springs CO 80487"
IGADI LTD,IGADL,403-01558,"72399 US Highway 40, Unit C",Tabernash,80478,Both,"72399 US Highway 40, Unit C Tabernash CO 80478"
KP LLC,THE ALCHEMIST,403-01671,228 Arthur Avenue,Oak Creek,80467,Both,228 Arthur Avenue Oak Creek CO 80467
CT MANAGEMENT SERVICES LLC,GARO DEPOT,403-01653,37671 Highway 9,Fairplay,80440,Both,37671 Highway 9 Fairplay CO 80440
SERENE WELLNESS FRASER LLC,,403-01266,13 East Park Avenue,Empire,80438,Both,13 East Park Avenue Empire CO 80438
ALPENGLOW BOTANICALS LLC,,403R-00093,"1805 Airport Road, #B1C & B1B",Breckenridge,80424,Both,"1805 Airport Road, #B1C & B1B Breckenridge CO 80424"
SUNRISE SOLUTIONS LLC,,403-00856,43 Main Street,Bailey,80421,Both,43 Main Street Bailey CO 80421
CROSSROADS WELLNESS LLC,BOULDER BOTANICS,403-00325,"4727 North Broadway, Unit G",Boulder,80304,Both,"4727 North Broadway, Unit G Boulder CO 80304"
THE GROWING KITCHEN LLC,,403-00398,8401 Baseline Road,Boulder,80303,Both,8401 Baseline Road Boulder CO 80303
COLORADO CANNABIS SERVICES LLC,GREEN CROSS CAREGIVERS,403-00607,"2510 47th Street, Unit G",Boulder,80301,Both,"2510 47th Street, Unit G Boulder CO 80301"
HEALTH SERVICES LLC,GREEN DREAM HEALTH SERVICES,403-01279,"6390 Gunpark Drive, Unit B",Boulder,80301,Both,"6390 Gunpark Drive, Unit B Boulder CO 80301"
5110 RACE LLC,THE SANCTUARY,403-00243,11100 East 51st Avenue,Denver,80239,Both,11100 East 51st Avenue Denver CO 80239
APOTHECARY OF COLORADO LLC,,403-00473,"10625 East 51st Avenue, Unit 103",Denver,80239,Both,"10625 East 51st Avenue, Unit 103 Denver CO 80239"
BIG TOE LLC,FINE TREES,403-00290,5353 Joliet Street,Denver,80239,Both,5353 Joliet Street Denver CO 80239
BK HOLDINGS LLC,,403-01484,12001 East 37th Avenue,Denver,80239,Both,12001 East 37th Avenue Denver CO 80239
BK HOLDINGS LLC,,403-01485,12005 East 37th Avenue,Denver,80239,Both,12005 East 37th Avenue Denver CO 80239
COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,403-00258,"5475 Peoria Street, Building 1, Unit 112",Denver,80239,Both,"5475 Peoria Street, Building 1, Unit 112 Denver CO 80239"
COLORADO FARMS INC,,403-00017,11975 East 40th Avenue,Denver,80239,Both,11975 East 40th Avenue Denver CO 80239
KIND LOVE LLC,,403-00038,4890 Joliet Street,Denver,80239,Both,4890 Joliet Street Denver CO 80239
LEFT BANK LLC,DIXIE ELIXIRS,403-01445,4990 Oakland Street,Denver,80239,Both,4990 Oakland Street Denver CO 80239
NUTRITIONAL ELEMENTS INC,THE HEALTH CENTER,403-00462,4825 Oakland Street,Denver,80239,Both,4825 Oakland Street Denver CO 80239
ORGANIC GREENS INC,NATURAL REMEDIES,403-01368,4675 Kingston Street,Denver,80239,Both,4675 Kingston Street Denver CO 80239
POTCO LLC,POTCO,403-01371,11101 East 51st Avenue,Denver,80239,Both,11101 East 51st Avenue Denver CO 80239
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,403R-00497,10625 East 51st Avenue,Denver,80239,Both,10625 East 51st Avenue Denver CO 80239
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,403-01701,4525 Ironton Street,Denver,80239,Both,4525 Ironton Street Denver CO 80239
BOTANACARE LLC,,403-01277,"11450 Cherokee Street, Units A1, A2, A3, A4, A5, A6, A7",Northglenn,80234,Both,"11450 Cherokee Street, Units A1, A2, A3, A4, A5, A6, A7 Northglenn CO 80234"
PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,403-00955,"2100 East 112th Avenue, Suite 5",Northglenn,80233,Both,"2100 East 112th Avenue, Suite 5 Northglenn CO 80233"
TETRAHYDROCENTER LLC,,403-00663,9206 East Hampden Avenue,Denver,80231,Both,9206 East Hampden Avenue Denver CO 80231
5280 WELLNESS LLC,MMJ AMERICA GOLDEN TRIANGLE,403-00424,1205 West Evans Avenue,Denver,80223,Both,1205 West Evans Avenue Denver CO 80223
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00978,"2252 South Kalamath Street, Unit B",Denver,80223,Both,"2252 South Kalamath Street, Unit B Denver CO 80223"
ADVANCED MEDICAL ALTERNATIVES LLC,,403-01535,"400 South Lipan Street, Unit 23",Denver,80223,Both,"400 South Lipan Street, Unit 23 Denver CO 80223"
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00977,790 West Evans,Denver,80223,Both,790 West Evans Denver CO 80223
ALTERNATIVE MEDICINE ON CAPITOL HILL,,403-00023,231 Wyandot Street,Denver,80223,Both,231 Wyandot Street Denver CO 80223
AT HOME REMEDIES INC,,403-00289,1055 South Fox Street,Denver,80223,Both,1055 South Fox Street Denver CO 80223
CANNABIS FOR HEALTH LLC,,403-00207,155 South Pecos Street,Denver,80223,Both,155 South Pecos Street Denver CO 80223
COMPASSIONATE PAIN MANAGEMENT LLC,CPM,403-00488,1975 South Bannock Street,Denver,80223,Both,1975 South Bannock Street Denver CO 80223
DELTA 9 ALTERNATIVE MEDICINE LLC,STICKY BUDS,403-01180,2219 South Jason Street,Denver,80223,Both,2219 South Jason Street Denver CO 80223
DISCOUNT MEDICAL MARIJUANA LLC,,403-00393,395 Yuma Street,Denver,80223,Both,395 Yuma Street Denver CO 80223
DOCTORS ORDERS LLC,DOCTORS ORDERS,403-01080,1395 South Acoma Street,Denver,80223,Both,1395 South Acoma Street Denver CO 80223
DOCTORS ORDERS LLC,DOCTORS ORDERS,403-01079,2323 South Lipan Street,Denver,80223,Both,2323 South Lipan Street Denver CO 80223
EPMM COLORADO LLC,EDIPURE,403-01252,1344 West Cedar Avenue,Denver,80223,Both,1344 West Cedar Avenue Denver CO 80223
GG MERCANTILE LLC,REDEYE RELEAF,403-01098,1332 South Cherokee Street,Denver,80223,Both,1332 South Cherokee Street Denver CO 80223
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,403-00269,1178 South Kalamath Street,Denver,80223,Both,1178 South Kalamath Street Denver CO 80223
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,403-00200,"2675 South Santa Fe Drive, Units 6C, 6D, 6E, 6F, 6G & 6H",Denver,80223,Both,"2675 South Santa Fe Drive, Units 6C, 6D, 6E, 6F, 6G & 6H Denver CO 80223"
IVITA WELLNESS II LLC,,403-00962,2150 South Lipan Street,Denver,80223,Both,2150 South Lipan Street Denver CO 80223
JULIE CAMILLE LLC,SWEET GRASS KITCHEN,403-00190,1135 South Jason Street,Denver,80223,Both,1135 South Jason Street Denver CO 80223
KAZIMER LLC,,403-00682,1233 West Alameda Avenue,Denver,80223,Both,1233 West Alameda Avenue Denver CO 80223
KEENS GREENS EDIBLES LLC,,403-01468,"1015 West Evans Avenue, Unit EB",Denver,80223,Both,"1015 West Evans Avenue, Unit EB Denver CO 80223"
KIND LOVE LLC,,403-00035,2116 South Kalamath Street,Denver,80223,Both,2116 South Kalamath Street Denver CO 80223
MEDICALLY CORRECT LLC,INCREDIBLES,403-01019,1308 South Jason Street,Denver,80223,Both,1308 South Jason Street Denver CO 80223
MEDICINAL WELLNESS CENTER LLC,MEDICINAL OASIS LLC,403-01260,1255 West Virginia Avenue,Denver,80223,Both,1255 West Virginia Avenue Denver CO 80223
MILE HIGH GREEN CROSS LLC,,403-01125,"1015 West Evans Avenue, Unit A/B",Denver,80223,Both,"1015 West Evans Avenue, Unit A/B Denver CO 80223"
MILE HIGH MEDICAL LLC,MMJ AMERICA,403-00426,"1885 West Dartmouth Avenue, Units 6 & 8",Denver,80223,Both,"1885 West Dartmouth Avenue, Units 6 & 8 Denver CO 80223"
NATURES BEST LLC,,403-00008,1240 South Bannock Street,Denver,80223,Both,1240 South Bannock Street Denver CO 80223
NATURES CURE III LLC,THE COLFAX POT SHOP,403-00651,1342 West Cedar Avenue,Denver,80223,Both,1342 West Cedar Avenue Denver CO 80223
RINO SUPPLY CO INC,,403-01201,2200 South Lipan Street,Denver,80223,Both,2200 South Lipan Street Denver CO 80223
ROCKY MOUNTAIN WAYS LLC,GOOD MEDS LAKEWOOD,403-01122,870 Navajo Street,Denver,80223,Both,870 Navajo Street Denver CO 80223
SERENDIPITY ENTERPRISES INCORPORATED,SATICA,403-01006,860 Navajo Street,Denver,80223,Both,860 Navajo Street Denver CO 80223
THE HERBAL CURE LLC,,403-00034,2209 South Jason Street,Denver,80223,Both,2209 South Jason Street Denver CO 80223
VITA MEDS LLC,MR. NICEGUYS,403-00551,1397 South Cherokee Street,Denver,80223,Both,1397 South Cherokee Street Denver CO 80223
WELLNESS CENTER OF THE ROCKIES INC,WELLNESS CENTER OF THE ROCKIES INC,403-01509,2130 South Lipan Street,Denver,80223,Both,2130 South Lipan Street Denver CO 80223
CJJ SERVICES LLC,SACRED SEED,403-00362,5885 East Evans Avenue,Denver,80222,Both,5885 East Evans Avenue Denver CO 80222
MAHATMA GANGA LLC,,403-01206,1045 West 45th Avenue,Denver,80221,Both,1045 West 45th Avenue Denver CO 80221
KTA LLC,HIGH STREET CANNABIS STATION,403-00107,890 Navajo Street,Denver,80220,Both,890 Navajo Street Denver CO 80220
CAREGIVERS FOR LIFE LLC,,403-00450,"2744 West 4th Avenue, Unit 100",Denver,80219,Both,"2744 West 4th Avenue, Unit 100 Denver CO 80219"
ADVANCED MEDICAL ALTERNATIVES LLC,,403-00980,501 West 40th Avenue,Denver,80216,Both,501 West 40th Avenue Denver CO 80216
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,403-00731,4571 North Ivy Street,Denver,80216,Both,4571 North Ivy Street Denver CO 80216
CANNABIS KING LLC,GREENWERKZ,403-00224,"3615 Delgany Street, Unit A",Denver,80216,Both,"3615 Delgany Street, Unit A Denver CO 80216"
CG NETWORK LLC,GROUNDSWELL,403-00546,4360 Vine Street,Denver,80216,Both,4360 Vine Street Denver CO 80216
CO-AGRONOMICS LLC,THE GREEN DEPOT,403-01654,4414 Vine Street,Denver,80216,Both,4414 Vine Street Denver CO 80216
COLORADO CARE FACILITY INC,,403-00149,4980 Jackson Street,Denver,80216,Both,4980 Jackson Street Denver CO 80216
CURE MEDICAL PHARM INC,RIVERROCK,403-00058,4935 York Street,Denver,80216,Both,4935 York Street Denver CO 80216
DENCO LLC,,403-00281,5155 East 46th Avenue,Denver,80216,Both,5155 East 46th Avenue Denver CO 80216
DENVER DISPENSARY LLC,,403-01262,4975 Vasquez Boulevard,Denver,80216,Both,4975 Vasquez Boulevard Denver CO 80216
DENVER PATIENTS CENTER LLC,"IHC, SANTE'",403-00184,3895 East 45th Avenue,Denver,80216,Both,3895 East 45th Avenue Denver CO 80216
DENVER RELIEF LLC,DENVER RELIEF LLC,403-00672,5051 East 41st Avenue,Denver,80216,Both,5051 East 41st Avenue Denver CO 80216
DISCOUNT MEDICAL MARIJUANA LLC,,403-00392,3730 East 44th Avenue,Denver,80216,Both,3730 East 44th Avenue Denver CO 80216
DURANGO ALTERNATIVE LLC,ROCKY MOUNTAIN HIGH,403-00241,"4228 York Street, Unit 103, 106 & 107",Denver,80216,Both,"4228 York Street, Unit 103, 106 & 107 Denver CO 80216"
FLEURAISON LLC,FLEURAISON LLC,403R-00570,5923 Broadway,Denver,80216,Both,5923 Broadway Denver CO 80216
FOX STREET WELLNESS LLC,AITAI,403-01217,4773 Fox Street,Denver,80216,Both,4773 Fox Street Denver CO 80216
GOLDEN MEDS INC,GM ENTERPRISE INC,403-01194,5077 North Colorado Boulevard,Denver,80216,Both,5077 North Colorado Boulevard Denver CO 80216
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS - GREEN STREET,403-00283,4905 East 41st Avenue,Denver,80216,Both,4905 East 41st Avenue Denver CO 80216
PATIENTS PLUS LLC,,403-00140,505 Bryant Street,Denver,80216,Both,505 Bryant Street Denver CO 80216
PREFERRED ORGANIC THERAPY & WELLNESS LLC,,403-00979,4850 Jackson Street,Denver,80216,Both,4850 Jackson Street Denver CO 80216
THE GREEN SOLUTION LLC,,403-01381,5305 Steele Street,Denver,80216,Both,5305 Steele Street Denver CO 80216
TREATMENTS UNLIMITED LLC,ALTITUDE EAST,403-00396,4550 Jackson Street,Denver,80216,Both,4550 Jackson Street Denver CO 80216
TWOG YORK LLC,BUDDY BOY,403-01139,4501 Wynkoop Street #101,Denver,80216,Both,4501 Wynkoop Street #101 Denver CO 80216
UNIVERSAL HERBS LLC,,403-00395,"5959 East 39th Avenue, Unit 102",Denver,80216,Both,"5959 East 39th Avenue, Unit 102 Denver CO 80216"
BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,,403-00865,4500 Jason Street,Denver,80211,Both,4500 Jason Street Denver CO 80211
ORGANIC GREENS INC,NATURAL REMEDIES,403-01154,4105 Jason Street,Denver,80211,Both,4105 Jason Street Denver CO 80211
PLATTE VALLEY DISPENSARY LLC,,403-00875,3104 Blake Street,Denver,80211,Both,3104 Blake Street Denver CO 80211
COLORADO WELLNESS INC,,403-01170,2057 South Broadway,Denver,80210,Both,2057 South Broadway Denver CO 80210
GANJA GOURMET LLC,,403-00987,1955 South Bannock Street,Denver,80210,Both,1955 South Bannock Street Denver CO 80210
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,403-01031,2568 South Broadway,Denver,80210,Both,2568 South Broadway Denver CO 80210
BEYOND BROADWAY LLC,LIVWELL,403-00574,432 South Broadway,Denver,80209,Both,432 South Broadway Denver CO 80209
THE HERBAL CURE LLC,,403-00747,985 South Logan Street,Denver,80209,Both,985 South Logan Street Denver CO 80209
BUD MED HEALTH CENTERS LLC,LIVE GREEN CANNABIS,403-00863,5775 East 39th Avenue,Denver,80207,Both,5775 East 39th Avenue Denver CO 80207
LIGHTSHADE LABS LLC,LIGHTSHADE,403-00378,3950 Holly Street,Denver,80207,Both,3950 Holly Street Denver CO 80207
MJLQ LLC,WHOLE MEDS,403-01469,"5959 East 39th Avenue, Unit 101",Denver,80207,Both,"5959 East 39th Avenue, Unit 101 Denver CO 80207"
NEW AGE MEDICAL LLC,NEWAGE MEDICAL LLC,403-00303,3857 Elm Street,Denver,80207,Both,3857 Elm Street Denver CO 80207
TMED LLC,THE GRASS STATION,403-01376,7200 East Smith Road,Denver,80207,Both,7200 East Smith Road Denver CO 80207
DGP WALNUT LLC,SWEET LEAF,403-00221,2609 Walnut Street,Denver,80205,Both,2609 Walnut Street Denver CO 80205
IVITA WELLNESS LLC,IVITA WELLNESS,403-00271,1660 East 40th Avenue,Denver,80205,Both,1660 East 40th Avenue Denver CO 80205
IVITA WELLNESS LLC,IVITA,403-01394,"1660 East 40th Avenue, Unit A",Denver,80205,Both,"1660 East 40th Avenue, Unit A Denver CO 80205"
LUCKY SWEETS LLC,LUCKY SWEETS LLC,403-01392,3980 Franklin Street,Denver,80205,Both,3980 Franklin Street Denver CO 80205
MMD OF COLORADO LLC,,403-00286,3954 Williams Street,Denver,80205,Both,3954 Williams Street Denver CO 80205
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,403-00128,2059 West 9th Avenue,Denver,80204,Both,2059 West 9th Avenue Denver CO 80204
BUSHES LLC,,403-01106,2650 West 6th Avenue,Denver,80204,Both,2650 West 6th Avenue Denver CO 80204
F-SQUARED INDUSTRIES LLC,WELLNESS CENTER OF DENVER,403-00624,788 Vallejo Street,Denver,80204,Both,788 Vallejo Street Denver CO 80204
JOIS LLC,SILVER STEM FINE CANNABIS,403-00493,2731 West Short Place,Denver,80204,Both,2731 West Short Place Denver CO 80204
MAYFLOWER GROUP LLC,THE HEALTH CENTER,403-00827,658 Kalamath Street,Denver,80204,Both,658 Kalamath Street Denver CO 80204
METRO CANNABIS INC,SILVER STEM FINE CANNABIS,403-00109,1235 Umatilla Street,Denver,80204,Both,1235 Umatilla Street Denver CO 80204
MMJ AMERICA INC,BOULDER MMJ,403-00423,1617 West 12th Avenue,Denver,80204,Both,1617 West 12th Avenue Denver CO 80204
SISSCO LLC,TRENCHTOWN,403-00840,1619 West 12th Avenue,Denver,80204,Both,1619 West 12th Avenue Denver CO 80204
TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,,403-00421,665 Kalamath Street,Denver,80204,Both,665 Kalamath Street Denver CO 80204
URBAN CANNABIS LLC,HEALING HOUSE,403-00182,1100 Yuma Court,Denver,80204,Both,1100 Yuma Court Denver CO 80204
XG PLATINUM CORPORATION,,403-01572,525 Bryant Street,Denver,80204,Both,525 Bryant Street Denver CO 80204
ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,403-00457,"70 Broadway, Suite 50",Denver,80203,Both,"70 Broadway, Suite 50 Denver CO 80203"
1617 WAZEE STREET LLC,LODO WELLNESS CENTER,403-00019,"1617 Wazee Street, Unit B",Denver,80202,Both,"1617 Wazee Street, Unit B Denver CO 80202"
BOULDER ORGANIC FOOD GROUP LLC,COLORADO PURE VAPE,403-01313,9135 West 44th Avenue,Wheat Ridge,80033,Both,9135 West 44th Avenue Wheat Ridge CO 80033
BOULDER SWEET GRASS LLC,SWEET MARY JANE,403-01483,"1224 Commerce Court, Unit 3",Lafayette,80026,Both,"1224 Commerce Court, Unit 3 Lafayette CO 80026"
RFSC LLC,ROOTS RX,403R-00327,421 Upper Cattle Creek Rd,Carbondale,81623,Retail,421 Upper Cattle Creek Rd Carbondale CO 81623
GENERAL CANNABIS LABS LLC,GENERAL CANNABIS LABS,403R-00595,37047 Highway 550,Montrose,81403,Retail,37047 Highway 550 Montrose CO 81403
THE POT SHOP LLC,THE POT SHOP LLC,403R-00337,67085 US Highway 50,Gunnison,81230,Retail,67085 US Highway 50 Gunnison CO 81230
DARK HORSE GENETICS LLC,,403R-00597,63520 East State Highway 96,Boone,81025,Retail,63520 East State Highway 96 Boone CO 81025
HASHISH HOUSE LLC,HASHISH HOUSE,403R-00233,63500 East State Highway 96,Boone,81025,Retail,63500 East State Highway 96 Boone CO 81025
K.I.N.D. WELLNESS CENTER LLC,K.I.N.D. WELLNESS CENTER LLC,403R-00210,102 North River Road,Snowmass,81654,Retail,102 North River Road Snowmass CO 81654
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF ASPEN,403R-00371,3010 Airport Rd,Rifle,81650,Retail,3010 Airport Rd Rifle CO 81650
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF ASPEN,403-01461,3010 Airport Road,Rifle,81650,Medical,3010 Airport Road Rifle CO 81650
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,403R-00382,184 Gas Court,Rifle,81650,Retail,184 Gas Court Rifle CO 81650
GREEN NATURAL SOLUTIONS INC,,403-01249,4501 Silt Mesa Road,Rifle,81650,Medical,4501 Silt Mesa Road Rifle CO 81650
RIFLE REMEDIES LLC,THE GROW HOUSE,403-00763,0208 County Road 227,Rifle,81650,Medical,0208 County Road 227 Rifle CO 81650
MML LLC,HOLISTIC HEALTHCARE,403-00465,"38150 River Frontage Road, Unit 3D",New Castle,81647,Medical,"38150 River Frontage Road, Unit 3D New Castle CO 81647"
TNT BOTANICALS LLC,TNT BOTANICALS,403R-00507,11157 Gypsum Creek Road,Gypsum,81637,Retail,11157 Gypsum Creek Road Gypsum CO 81637
NEW HOPE WELLNESS CENTER LLC,,403R-00342,210 Edwards Village Boulevard Unit B-210,Edwards,81632,Retail,210 Edwards Village Boulevard Unit B-210 Edwards CO 81632
NEW HOPE WELLNESS CENTER LLC,,403-00231,"210 Edwards Village Boulevard, Unit B-210",Edwards,81632,Medical,"210 Edwards Village Boulevard, Unit B-210 Edwards CO 81632"
DISTRICT 8 HOLDINGS LLC,,403R-00578,2139 45 Road,De Beque,81630,Retail,2139 45 Road De Beque CO 81630
ELK MOUNTAIN TRADING POST LLC,ELK MOUNTAIN TRADING POST LLC,403R-00412,170 East 3rd Street,De Beque,81630,Retail,170 East 3rd Street De Beque CO 81630
CATTLE CREEK CULTIVATIONS LLC,,403R-00345,"420 Upper Cattle Creek Road, Lot 4",Carbondale,81623,Retail,"420 Upper Cattle Creek Road, Lot 4 Carbondale CO 81623"
CMED LLC,COLOMED CENTER,403-00848,615 Buggy Circle Unit D,Carbondale,81623,Medical,615 Buggy Circle Unit D Carbondale CO 81623
CMED LLC,,403R-00089,"615 Buggy Circle, Unit D",Carbondale,81623,Retail,"615 Buggy Circle, Unit D Carbondale CO 81623"
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF,403-01214,1676 CR 100 Unit N-2,Carbondale,81623,Medical,1676 CR 100 Unit N-2 Carbondale CO 81623
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,403R-00182,655 Buggy Circle,Carbondale,81623,Retail,655 Buggy Circle Carbondale CO 81623
COOPER MASON VENTURES 2 LLC,,403R-00298,11556 Highway 133,Carbondale,81623,Retail,11556 Highway 133 Carbondale CO 81623
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403R-00185,11556 Highway133,Carbondale,81623,Retail,11556 Highway133 Carbondale CO 81623
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403-01207,11556 Hwy 133,Carbondale,81623,Medical,11556 Hwy 133 Carbondale CO 81623
CRYSTAL RIVER GROWERS,,403R-00523,"220 North 12th Street, Unit A",Carbondale,81623,Retail,"220 North 12th Street, Unit A Carbondale CO 81623"
RFSCG1 LLC,,403R-00322,421 Upper Cattle Creek Road,Carbondale,81623,Retail,421 Upper Cattle Creek Road Carbondale CO 81623
VAIL BUD BREWERY LLC,VAIL BUDZ,403R-00466,"40928 Highway 6, Unit 2-C",Avon,81620,Retail,"40928 Highway 6, Unit 2-C Avon CO 81620"
